id,street,city,state,zip
22504,3990 Brighton Ave,Los Angeles,CA,90062
22505,25807 Anderson Ln,Stevenson Ranch,CA,91381
22506,8040 De Garmo Ave,Sun Valley,CA,91352
22507,3125 Sullivan Ave,Rosemead,CA,91770
22508,3021 Yale Ave,,CA,90292
22509,10516 Ilona Ave,Los Angeles,CA,90064
22510,821 Amelia Ave,Glendora,CA,91740
22511,4927 Hampton Rd,Flintridge,CA,91011
22512,3842 W 28th St,Los Angeles,CA,90018
22513,252 Wilart Pl,Pomona,CA,91768
22514,12111 Louis Ave,Whittier,CA,90605
22515,1763 S Shenandoah St,,CA,90035
22516,1313 Walnut St,,CA,91776
22517,24616 Garland Dr,Valencia,CA,91355
22518,11757 Ringwood Ave,Norwalk,CA,90650
22519,30430 Byfield Rd,Castaic,CA,91384
22520,28612 Gabrial Pl,Green Valley,CA,91390
22521,556 E Loma Alta Dr,Altadena,CA,91001
22522,4745 Vineland Ave,North Hollywood,CA,91602
22523,303 Ridge Terrace Ln,Montebello,CA,90640
22524,6214 San Vicente Blvd,Los Angeles,CA,90048
22525,18129 Erik Ct,Canyon Cntry,CA,91387
22526,634 N Chalburn Ave,West Covina,CA,91790
22527,4952 El Monte Ave,Temple City,CA,91780
22528,2249 W 30th St,,CA,90018
22529,28447 Calex Dr,Valencia,CA,91354
22530,1351 N Curson Ave,Los Angeles,CA,90046
22531,12019 Darby Ave,Porter Ranch,CA,91326
22532,5103 N Saint Malo Ave,,CA,91722
22533,20602 Berendo Ave,Torrance,CA,90502
22534,2651 W Pico Blvd,Los Angeles,CA,90006
22535,2146 W 78th St,Los Angeles,CA,90047
22536,7937 Laurel Canyon Blvd,,CA,91605
22537,1110 E 67th St,Inglewood,CA,90302
22538,12351 Deerbrook Ln,Los Angeles,CA,90049
22539,677 N Mountain View Ave,Pomona,CA,91767
22540,16021 Bassett St,Van Nuys,CA,91406
22541,4674 Park Mirasol,,CA,91302
22542,1419 15th St,,CA,90404
22543,5735 W 76th St,Los Angeles,CA,90045
22544,2604 160th St,Redondo Beach,CA,90278
22545,5898 Blackwelder St,Culver City,CA,90232
22546,561 Ivy Dr,Palmdale,CA,93550
22547,28808 Deodar Pl,Green Valley,CA,91390
22548,17421 Hamlin St,Van Nuys,CA,91406
22549,8283 Willis Ave,Panorama City,CA,91402
22550,12710 Jimeno Ave,Granada Hills,CA,91344
22551,2701 Winthrop Ave,,CA,91007
22552,2554 Olive Dr,,CA,93550
22553,24003 Via Aranda,Valencia,CA,91355
22554,128 N Alexander St,San Fernando,CA,91340
22555,6236 E Pageantry St,,CA,90808
22556,13700 Shablow Ave,Kagel Canyon,CA,91342
22557,2660 Orchard Ave,Dockweiler,CA,90007
22558,5629 Gracewood Ave,Arcadia,CA,91007
22559,601 S La Brea Ave,,CA,90036
22560,13839 Burton St,Panorama City,CA,91402
22561,5162 Sunlight Pl,,CA,90016
22562,3114 Prospect Ave,La Crescenta,CA,91214
22563,15200 Spinning Ave,Gardena,CA,90249
22564,23036 Vista Delgado Dr,Valencia,CA,91354
22565,30 E Longden Ave,Arcadia,CA,91006
22566,17343 Califa St,Encino,CA,91316
22567,242 Elderberry St,La Verne,CA,91750
22568,163 N Citrus Ave,,CA,90036
22569,6817 Altamor Dr,Los Angeles,CA,90045
22570,24415 Top Ct,Diamond Bar,CA,91765
22571,2613 S Harcourt Ave,Los Angeles,CA,90016
22572,6722 Cantaloupe Ave,Van Nuys,CA,91405
22573,237 N Whitnall Hwy,Burbank,CA,91505
22574,1138  21st St,Santa Monica,CA,90403
22575,656 W Florence Ave,,CA,90044
22576,7418 Crenshaw Blvd,,CA,90043
22577,4209 Slauson Ave,,CA,90270
22578,8721 Ramona St,,CA,90706
22579,6132 S La Brea Ave,,CA,90056
22580,1500 Reeves St,,CA,90035
22581,37443 Park Forest Ct,Palmdale,CA,93552
22582,5447 Fidler Ave,,CA,90712
22583,4047 Murietta Ave,Sherman Oaks,CA,91423
22584,1712 Mesa Dr,,CA,93535
22585,28304 Golden Meadow Dr,Rancho Palos Verdes,CA,90275
22586,11511 Moonridge Rd,Whittier,CA,90601
22587,28132 Castillo Ln,Valencia,CA,91354
22588,1701 Walnut St,San Gabriel,CA,91776
22589,7813 Saint Clair Ave,North Hollywood,CA,91605
22590,1215 S Pine St,,CA,91776
22591,531 N Rossmore Ave,Los Angeles,CA,90004
22592,999 N Doheny Dr,West Hollywood,CA,90069
22593,804 Hershey Ave,,CA,91755
22594,236 W Grand Ave,,CA,91766
22595,6218 Kenwater Ave,,CA,91367
22596,1305 W Arrow Hwy,,CA,91773
22597,1856 Benecia Ave,Los Angeles,CA,90025
22598,10816 Yolanda Ave,Porter Ranch,CA,91326
22599,3102 Paddy Ln,Baldwin Park,CA,91706
22600,14337 Cohasset St,Van Nuys,CA,91405
22601,4747 Vincent Ave,Eagle Rock,CA,90041
22602,15077 Cerecita Dr,Whittier,CA,90604
22603,6570 Cleomoore Ave,West Hills,CA,91307
22604,7722 Paramount Pl,Pico Rivera,CA,90660
22605,5228 Vineland Ave,North Hollywood,CA,91601
22606,2614 Evelyn Ave,West Covina,CA,91792
22607,17914 Magnolia Blvd,Encino,CA,91316
22608,12183 Front St,Norwalk,CA,90650
22609,3550 E Holt Ave,West Covina,CA,91791
22610,4816 August St,Baldwin Hills,CA,90008
22611,2724 Manhattan Beach Blvd,Gardena,CA,90249
22612,6201 Valley Circle Blvd,,CA,91367
22613,8942 Appian Way,Los Angeles,CA,90046
22614,9563 Ramona St,Bellflower,CA,90706
22615,5147  11th Ave,Los Angeles,CA,90043
22616,1422 N Fairvalley Ave,,CA,91722
22617,10900 Santa Monica Blvd,Los Angeles,CA,90025
22618,14265 Terra Bella St,Panorama City,CA,91402
22619,2103 Petaluma Ave,Long Beach,CA,90815
22620,15540 Texaco Ave,Paramount,CA,90723
22621,2113 Stanbridge Ave,Long Beach,CA,90815
22622,43252 Darby St,Hi Vista,CA,93535
22623,2912 Manitou Ave,,CA,90031
22624,226 Hillcrest Dr,,CA,91744
22625,14819 Magnolia Blvd,Sherman Oaks,CA,91403
22626,20956 Ventura Blvd,Woodland Hills,CA,91364
22627,13825 Beaver St,Kagel Canyon,CA,91342
22628,1711 Perkins Ln,,CA,90278
22629,1413 E 9th St,Phillips Ranch,CA,91766
22630,417 E Lincoln St,Carson,CA,90745
22631,Vac/57 Stw/Vic Ave H4,,CA,0
22632,10392 Glenbarr Ave,Los Angeles,CA,90064
22633,1220 Montecito Dr,Lincoln Heights,CA,90031
22634,1012 N Croft Ave,West Hollywood,CA,90069
22635,378 S Madison Ave,Pasadena,CA,91101
22636,16346 Rochlen St,Hacienda Heights,CA,91745
22637,11416 Freer Ave,Arcadia,CA,91006
22638,6650 Quail Rd,,CA,91390
22639,8661 Delmonico Ave,Box Canyon,CA,91304
22640,1401 S Whitemarsh Ave,Compton,CA,90220
22641,716 N Irena Ave,Redondo Beach,CA,90277
22642,25341 Irving Ln,Stevenson Rnh,CA,91381
22643,1221 W Hellman Ave,Alhambra,CA,91803
22644,16214 Sweetaire Ave,Hi Vista,CA,93535
22645,3851 W 113th St,Inglewood,CA,90303
22646,2305 Vanderbilt Ln,Redondo Beach,CA,90278
22647,14916 Ryan St,Kagel Canyon,CA,91342
22648,808 El Redondo Ave,Redondo Beach,CA,90277
22649,19112 Halsted St,Northridge,CA,91324
22650,3835 Shadow Grove Rd,,CA,91107
22651,519 S Marguerita Ave,Alhambra,CA,91803
22652,2218 Manhattan Beach Blvd,Redondo Beach,CA,90278
22653,12656 Oxford Dr,La Mirada,CA,90638
22654,5139 Elrovia Ave,El Monte,CA,91732
22655,1635 Silver Lake Blvd,Los Angeles,CA,90026
22656,22517 Poplar St,Green Valley,CA,91390
22657,53 Los Coyotes Dr,Phillips Ranch,CA,91766
22658,3992 Inglewood Blvd,Los Angeles,CA,90066
22659,1606 W 22nd St,Dockweiler,CA,90007
22660,4531 Willalee Ave,La Crescenta,CA,91214
22661,3867 Arlington Ave,Baldwin Hills,CA,90008
22662,5046 Southridge Ave,,CA,90043
22663,631 Chaparral Rd,Sierra Madre,CA,91024
22664,1094 Montecito Dr,Lincoln Heights,CA,90031
22665,6129 Eglise Ave,Pico Rivera,CA,90660
22666,13745 Chandler Blvd,Sherman Oaks,CA,91401
22667,1314 Meadow Ln,Duarte,CA,91010
22668,570 Gordon Ranch Rd,Glendora,CA,91741
22669,13113 Mozart Way,Cerritos,CA,90703
22670,3201 Raintree Cir,Culver City,CA,90230
22671,2043 W 75th St,Los Angeles,CA,90047
22672,19545 Sherman Way,Reseda,CA,91335
22673,19336 Santa Rita St,Tarzana,CA,91356
22674,2801 N Hollywood Way,Burbank,CA,91505
22675,4474 Guildhall Ct,Hidden Valley,CA,91361
22676,15588 Pintura Dr,Hacienda Heights,CA,91745
22677,16206 Gilmore St,Van Nuys,CA,91406
22678,2222 Avenue Of The Stars,Century City,CA,90067
22679,1751 Shirley Pl,Pomona,CA,91767
22680,315 W Palmer Ave,Glendale,CA,91204
22681,1680 256th St,Harbor City,CA,90710
22682,13328 Klondike Ave,Downey,CA,90242
22683,1580 Woodbury Dr,Harbor City,CA,90710
22684,2034 Windsor Cir,Duarte,CA,91010
22685,3008 Purple Sage Ln,,CA,93550
22686,507 Crown St,Glendora,CA,91740
22687,926 Harvard St,,CA,90403
22688,8413 De Soto Ave,,CA,91304
22689,9951 Mills Ave,Whittier,CA,90604
22690,1204 Maple Ave,Torrance,CA,90503
22691,327 E Live Oak St,,CA,91776
22692,37662  90th St E,Littlerock,CA,93543
22693,9524 Live Oak Ave,Temple City,CA,91780
22694,705 E Arbor Vitae St,,CA,90301
22695,735 E Merced Ave,West Covina,CA,91790
22696,2795 Laurie Ln,,CA,91750
22697,6900 Grasswood Ave,Malibu,CA,90265
22698,426 Kingsford St,,CA,91754
22699,6211 Riviera Cir,Long Beach,CA,90815
22700,1901 N Catalina St,,CA,90027
22701,6025 Ashworth St,Lakewood,CA,90713
22702,2305 Oxford Ave,,CA,91711
22703,3363 W Manchester Blvd,,CA,90305
22704,821 Orange Ave,,CA,90813
22705,6505 Greenbush Ave,,CA,91401
22706,1280 S Ferris Ave,East Los Angeles,CA,90022
22707,13686 Allegan St,Whittier,CA,90605
22708,10342 Odessa Ave,Granada Hills,CA,91344
22709,10146 Orr And Day Rd,Santa Fe Spgs,CA,90670
22710,737 Sharon Rd,Arcadia,CA,91007
22711,14013 Mcgee Dr,Whittier,CA,90605
22712,4300 W Magnolia Blvd,Burbank,CA,91505
22713,3479 Mandeville Canyon Rd,Los Angeles,CA,90049
22714,27823 Rainier Rd,Castaic,CA,91384
22715,835 Locust Ave,Long Beach,CA,90813
22716,3617 Walnut Ave,Lynwood,CA,90262
22717,1168 S Broadway,,CA,90015
22718,4630 Dunas Ln,,CA,91356
22719,1433 Martingale Ct,San Dimas,CA,91773
22720,207 E Scenic Dr,,CA,91016
22721,1141 Flintlock Rd,Diamond Bar,CA,91765
22722,1332 Magnolia Ave,Gardena,CA,90247
22723,3757 Rutherford Ct,Inglewood,CA,90305
22724,10937 Otsego St,North Hollywood,CA,91601
22725,20129 Vanowen St,Winnetka,CA,91306
22726,999 E Valley Blvd,Alhambra,CA,91801
22727,3621 Ashwood Ave,,CA,90066
22728,15023 Daffodil Ave,Canyon Country,CA,91387
22729,1061 S Alma Ave,Los Angeles,CA,90023
22730,620 Punahou St,Altadena,CA,91001
22731,460 W Le Roy Ave,Arcadia,CA,91007
22732,280 E Del Mar Blvd,,CA,91101
22733,3192 W 7th St,Los Angeles,CA,90005
22734,339 Rainbow Ter,City Ranch,CA,93551
22735,711 Bartlett St,,CA,90012
22736,471 Avenue 64,Pasadena,CA,91105
22737,18809 Towne Ave,Carson,CA,90746
22738,6159 Faculty Ave,Lakewood,CA,90712
22739,337 N Brighton St,,CA,91506
22740,109 E Claremont St,Pasadena,CA,91103
22741,6346 N Vista St,,CA,91775
22742,4226 W Avenue M12,,CA,93536
22743,229 Woodruff Ave,Los Angeles,CA,90024
22744,3635 Balmont St,,CA,93536
22745,1022 S Truro Ave,Inglewood,CA,90301
22746,6813 Granger Ave,,CA,90201
22747,6940 Fullbright Ave,Winnetka,CA,91306
22748,9714 Val St,,CA,91780
22749,44818 Cedar Ave,Lancaster,CA,93534
22750,16905 Scenic Pl,Pacific Palisades,CA,90272
22751,14202 Los Angeles St,Baldwin Park,CA,91706
22752,1307 Paseo Placita,San Dimas,CA,91773
22753,1334 S Hidden Valley Dr,West Covina,CA,91791
22754,17797 Camino De Yatasto,Pacific Palisades,CA,90272
22755,3101 Caspian Dr,City Ranch,CA,93551
22756,13038 Hartsook St,Sherman Oaks,CA,91423
22757,2604 Gates Ave,,CA,90278
22758,5413 Hersholt Ave,Lakewood,CA,90712
22759,20253 Keswick St,Winnetka,CA,91306
22760,4954 Coldbrook Ave,,CA,90713
22761,10623 Redmont Ave,Tujunga,CA,91042
22762,1657 Shoreland Dr,,CA,90012
22763,7853 Hesperia Ave,Reseda,CA,91335
22764,5438 Mcculloch Ave,,CA,91780
22765,5519 Bienveneda Ter,City Ranch,CA,93551
22766,13723 Bluegrove Ave,Bellflower,CA,90706
22767,12361 Bradford Pl,Granada Hills,CA,91344
22768,90 Hurlbut St,Pasadena,CA,91105
22769,6102 Marina Pacifica Dr S,,CA,90803
22770,23900 Friar St,Woodland Hls,CA,91367
22771,4636 Vanalden Ave,,CA,91356
22772,16429 Simonds St,Granada Hills,CA,91344
22773,3531 W 111th St,Inglewood,CA,90303
22774,17720 Regency Cir,Bellflower,CA,90706
22775,2559 S Eastern Ave,,CA,90040
22776,11537 Keith Dr,Los Nietos,CA,90606
22777,7100 Hayvenhurst Ave,Van Nuys,CA,91406
22778,28611 Mount Lassen Ln,Rancho Palos Verdes,CA,90275
22779,2005 Wendy Way,,CA,90266
22780,112 S Savannah St,Los Angeles,CA,90033
22781,16301 Keeler Dr,Granada Hills,CA,91344
22782,1013 E 81st St,Firestone Park,CA,90001
22783,4930 Peck Rd,El Monte,CA,91732
22784,731 E Coolidge St,Long Beach,CA,90805
22785,1454 W 70th St,Los Angeles,CA,90047
22786,20524 Moberly Pl,Winnetka,CA,91306
22787,16214 S Orchard Ave,Gardena,CA,90247
22788,1809 Peyton Ave,,CA,91504
22789,240 N Bentley Ave,Los Angeles,CA,90049
22790,4545 E Avenue V5,Palmdale,CA,93552
22791,17931 Laurelbrook Pl,Cerritos,CA,90703
22792,411 N Prospect Ave,Redondo Beach,CA,90277
22793,7440 Orion Ave,Van Nuys,CA,91406
22794,11813 Crossdale Ave,Norwalk,CA,90650
22795,2620 W 166th Pl,,CA,90504
22796,1621 N Santa Anita Ave,Arcadia,CA,91006
22797,8056 Ranchito Ave,Panorama City,CA,91402
22798,6716 Clybourn Ave,,CA,91606
22799,11711 Emery St,El Monte,CA,91732
22800,25113 Fourl Rd,Newhall,CA,91321
22801,18612 Malden St,Northridge,CA,91324
22802,22739 Jody Ln,Carson,CA,90745
22803,3353 Grand Ave,,CA,90255
22804,826 E 18th St,Los Angeles,CA,90021
22805,2239 Santa Fe Ave,Long Beach,CA,90810
22806,1432 W 127th St,,CA,90047
22807,523 N St Andrews Pl,,CA,90004
22808,81 Savona Walk,Long Beach,CA,90803
22809,8106 Fordham Rd,Los Angeles,CA,90045
22810,8987 San Carlos Ave,South Gate,CA,90280
22811,10501 Wilshire Blvd,Los Angeles,CA,90024
22812,17911 S Denker Ave,Gardena,CA,90248
22813,20211 S Susana Rd,Compton,CA,90221
22814,27741 Kristin Ln,Santa Clarita,CA,91350
22815,683 Geneva Ave,Claremont,CA,91711
22816,15050 Sherman Way,Van Nuys,CA,91405
22817,23778 Burton St,Box Canyon,CA,91304
22818,1324 Gaviota Ave,Long Beach,CA,90813
22819,3629 Norwich Pl,,CA,91748
22820,6516 Zelzah Ave,,CA,91335
22821,1737 Compromise Line Rd,Glendora,CA,91741
22822,704 N Garsden Ave,Covina,CA,91724
22823,18816 Lanark St,Reseda,CA,91335
22824,536 Winslow Ave,Long Beach,CA,90814
22825,2747 Sandstone Ct,City Ranch,CA,93551
22826,2428 Santa Anita Ave,Altadena,CA,91001
22827,743 Irving Dr,Burbank,CA,91504
22828,2829 Tilden Ave,,CA,90064
22829,11648 Washington Blvd,Los Nietos,CA,90606
22830,3624 Cottonwood Cir,,CA,91792
22831,4334 Glencoe Ave,Marina Del Rey,CA,90292
22832,4224 W 106th St,Inglewood,CA,90304
22833,14615 S Caswell Ave,Compton,CA,90220
22834,7030 Shadygrove St,Tujunga,CA,91042
22835,3377 Athol St,,CA,91706
22836,7750 Fair Ave,,CA,91352
22837,146 Verdugo Ave,Glendora,CA,91741
22838,1412 W 53rd St,,CA,90062
22839,19852 Sandpiper Pl,Newhall,CA,91321
22840,9226 Olive St,,CA,91780
22841,18530 Newbrook Cir,Cerritos,CA,90703
22842,9514 Creemore Dr,,CA,91042
22843,777 S Citrus Ave,Azusa,CA,91702
22844,10934 Tamarack Ave,Hansen Hills,CA,91331
22845,940 E Vernon St,Signal Hill,CA,90755
22846,9621 Defiance Ave,,CA,90002
22847,917 W 137th St,Compton,CA,90222
22848,17526 Glenthorne St,La Puente,CA,91744
22849,38228 5th Pl W,City Ranch,CA,93551
22850,1232 Stanford St,Santa Monica,CA,90404
22851,1534 2nd St,Duarte,CA,91010
22852,14821 Neartree Rd,La Mirada,CA,90638
22853,1031 N Normandie Ave,Los Angeles,CA,90029
22854,11500 San Vicente Blvd,Los Angeles,CA,90049
22855,1863 2nd St,La Verne,CA,91750
22856,2119 Hollister Ter,Glendale,CA,91206
22857,42520  28th St W,Del Sur,CA,93536
22858,5601 Bowcroft St,Los Angeles,CA,90016
22859,830 W 130th St,,CA,90222
22860,39112  10th St E,Palmdale,CA,93550
22861,5046 Oak Bend Dr,,CA,91750
22862,1771 W 27th St,Los Angeles,CA,90018
22863,945 S Eucalyptus Ave,Inglewood,CA,90301
22864,19202 S Grandee Ave,Carson,CA,90746
22865,140 Linden Ave,Long Beach,CA,90802
22866,2901 W 234th St,,CA,90505
22867,3441 2nd Ave,Los Angeles,CA,90018
22868,1544 Sargent Pl,,CA,90026
22869,210 E Aliso St,Pomona,CA,91767
22870,26855 Oak Branch Cir,Newhall,CA,91321
22871,244 E Pasadena St,,CA,91767
22872,6256 Mosley Ave,Baldwin Hills,CA,90056
22873,3676 Glenwood Ave,Glendale,CA,91208
22874,1439 E 51st St,Los Angeles,CA,90011
22875,710 E Foothill Blvd,Glendora,CA,91741
22876,380 S San Rafael Ave,,CA,91105
22877,12103 Burgess Ave,Whittier,CA,90604
22878,29016 Maplepark Dr,Rch Palos Vrd,CA,90275
22879,240 W 53rd St,,CA,90037
22880,18743 Romar St,Northridge,CA,91324
22881,25540 Schubert Cir,Stevenson Ranch,CA,91381
22882,1516 5th Ave,Los Angeles,CA,90019
22883,20009 Alburtis Ave,Lakewood,CA,90715
22884,6127 S Rimpau Blvd,,CA,90043
22885,1260 N Mar Vista Ave,Pasadena,CA,91104
22886,283 E Holt Ave,Pomona,CA,91767
22887,1849 Oakgate St,Monterey Park,CA,91755
22888,1771 Vista Del Valle Dr,Arcadia,CA,91006
22889,16010 Mart Dr,La Mirada,CA,90638
22890,1016 Gothic Way,,CA,91768
22891,9137 Nan St,,CA,90660
22892,14825 Los Angeles St,Baldwin Park,CA,91706
22893,7656 Avalon Blvd,Los Angeles,CA,90003
22894,4619 Talisman St,Torrance,CA,90503
22895,10407 Wall St,Los Angeles,CA,90003
22896,12321 Shoemaker Ave,Santa Fe Spgs,CA,90670
22897,36838 Cristallo Ct,Palmdale,CA,93550
22898,22111 Gault St,Canoga Park,CA,91303
22899,1820 Jewett Dr,,CA,90046
22900,3006 E Del Mar Blvd,Pasadena,CA,91107
22901,1333 N La Brea Ave,Hollywood,CA,90028
22902,5515 Klump Ave,North Hollywood,CA,91601
22903,525 N Sycamore Ave,,CA,90036
22904,307 E Duarte Rd,,CA,91006
22905,37351 Populus Ave,Palmdale,CA,93552
22906,1904 Firmona Ave,Redondo Beach,CA,90278
22907,10833 Key West Ave,Porter Ranch,CA,91326
22908,5001 Mckinley Ave,Los Angeles,CA,90011
22909,17820 Collins St,Encino,CA,91316
22910,13507 Valna Dr,Whittier,CA,90602
22911,6730 Vineland Ave,North Hollywood,CA,91606
22912,4318 E 15th St,Long Beach,CA,90804
22913,11423 Miller Rd,Whittier,CA,90604
22914,724 E Harvard Rd,Burbank,CA,91501
22915,1417 Coronado Ave,,CA,90804
22916,1803 Tyler Ave,S El Monte,CA,91733
22917,2723 Winthrop Ave,,CA,91007
22918,34070 San Gabriel Ave,Acton,CA,93510
22919,28711 Startree Ln,Green Valley,CA,91390
22920,742 W 98th St,,CA,90044
22921,10444 Pearson Pl,Sunland,CA,91040
22922,2423 W Avenue 32,,CA,90065
22923,722 Chestnut Ave,,CA,90042
22924,14962 Gault St,Van Nuys,CA,91405
22925,750 E 5th St,,CA,91702
22926,808 W 66th St,August F. Haw,CA,90044
22927,1982 Rolling Vista Dr,,CA,90717
22928,11148 Sheldon St,Sun Valley,CA,91352
22929,5338 Via Corona St,,CA,90022
22930,422 Wing St,Glendale,CA,91205
22931,5213 Topanga Canyon Blvd,Woodland Hills,CA,91364
22932,27680 Caraway Ln,Santa Clarita,CA,91350
22933,129 Alta Ave,,CA,90402
22934,2816 Via Pacheco,Palos Verdes Estates,CA,90274
22935,112 Montreal St,,CA,90293
22936,1065 Ironshoe Ct,Walnut,CA,91789
22937,5255 Lakewood Blvd,Lakewood,CA,90712
22938,601 Quincy Ave,Long Beach,CA,90814
22939,1027 Country Club Dr,,CA,91501
22940,7916 Rose St,,CA,90723
22941,7030 Bevis Ave,Van Nuys,CA,91405
22942,4407 Merced Ave,Baldwin Park,CA,91706
22943,4336 W 168th St,Lawndale,CA,90260
22944,3608 8th Ave,Los Angeles,CA,90018
22945,950 Larrabee St,,CA,90069
22946,15351 Shefford St,Hacienda Heights,CA,91745
22947,111 W Palm Ave,El Segundo,CA,90245
22948,566 E 67th St,Inglewood,CA,90302
22949,17734 Revello Dr,Pacific Plsds,CA,90272
22950,1345 N Michillinda Ave,Pasadena,CA,91107
22951,1709 El Rey Rd,San Pedro,CA,90732
22952,6053 Pimenta Ave,Lakewood,CA,90712
22953,550  33rd St,Manhattan Bch,CA,90266
22954,37015  96th St E,Littlerock,CA,93543
22955,5848 Hazeltine Ave,,CA,91401
22956,2500 Las Flores Dr,,CA,90041
22957,320 Ultimo Ave,Long Beach,CA,90814
22958,14834 Cohasset St,Van Nuys,CA,91405
22959,7146 W 91st St,Los Angeles,CA,90045
22960,3760 Walnut Ave,Long Beach,CA,90807
22961,1127  12th St,Santa Monica,CA,90403
22962,5380 E 8th St,Long Beach,CA,90804
22963,2012 Ashington Dr,,CA,91206
22964,1417 W Kettering St,Lancaster,CA,93534
22965,2630 La Cienega Ave,,CA,90034
22966,20815 Bassett St,Winnetka,CA,91306
22967,1431 N O Malley Ave,Covina,CA,91722
22968,1303 Gates Pl,,CA,91030
22969,10127 Golden Oaks Ave,Tujunga,CA,91042
22970,225 W 85th St,,CA,90003
22971,594 Date St,,CA,91768
22972,16779 Morrison St,Encino,CA,91436
22973,5140 West Blvd,,CA,90043
22974,107 N Cliffwood Ave,Los Angeles,CA,90049
22975,309 S Glenwood Pl,Burbank,CA,91506
22976,13114 Courbet Ln,Granada Hills,CA,91344
22977,1859 Club Dr,,CA,91768
22978,178 Covina Ave,Long Beach,CA,90803
22979,43853  20th St E,Hi Vista,CA,93535
22980,22642 Oxford Ln,Santa Clarita,CA,91350
22981,1731 W 105th St,,CA,90047
22982,1520 Cobblestone Ln,Pomona,CA,91767
22983,944 9th St,Santa Monica,CA,90403
22984,2081 Avenida Feliciano,,CA,90275
22985,19514 Pilario St,Rowland Hghts,CA,91748
22986,13842 Candlewood Dr,Kagel Canyon,CA,91342
22987,42567 Blossom Dr,Del Sur,CA,93536
22988,1333 W 51st St,Los Angeles,CA,90037
22989,13018 Graystone Ave,Norwalk,CA,90650
22990,301 Brockmont Dr,,CA,91202
22991,201 W 101st St,,CA,90003
22992,20103 Saticoy St,Winnetka,CA,91306
22993,82 W Laurel Ave,,CA,91024
22994,12411 Osborne St,Hansen Hills,CA,91331
22995,2907 W 130th St,,CA,90249
22996,1837 10th Ave,,CA,91016
22997,1818 Johnston St,,CA,90031
22998,3189 Pasadena Ave,Long Beach,CA,90807
22999,15925 Indiana Ave,Paramount,CA,90723
23000,1036 Orange Ave,Monrovia,CA,91016
23001,6303 Rosemead Blvd,Pico Rivera,CA,90660
23002,540 Hansa St,,CA,93551
23003,263 Corona Ave,,CA,90803
23004,2431 Heather Ave,Long Beach,CA,90815
23005,4249 Coolidge Ave,Los Angeles,CA,90066
23006,660 Orange Grove Ave,,CA,91803
23007,15155 Sherman Way,Van Nuys,CA,91405
23008,6419 Via Baron,Rancho Palos Verdes,CA,90275
23009,490 Fairview Ave,Sierra Madre,CA,91024
23010,310 E 189th St,Carson,CA,90746
23011,3460 S Centinela Ave,Los Angeles,CA,90066
23012,11133 Telfair Ave,Hansen Hills,CA,91331
23013,13664 Chase St,Arleta,CA,91331
23014,115 W Century Blvd,Los Angeles,CA,90003
23015,1541 W 57th St,,CA,90062
23016,644 S 4th St,Montebello,CA,90640
23017,10222 Kalua Dr,Sunland,CA,91040
23018,12725 Tiara St,Sherman Village,CA,91607
23019,1322 Bennett Ave,Long Beach,CA,90804
23020,9036 Washington Blvd,Pico Rivera,CA,90660
23021,12512 Collins St,Sherman Village,CA,91607
23022,2760 La Cuesta Dr,Los Angeles,CA,90046
23023,17 Silver Saddle Ln,Rolling Hills Estates,CA,90274
23024,27503 Esterbrook Ave,Canyon Cntry,CA,91351
23025,5525 E Flagstone St,,CA,90808
23026,21418 Howard Ave,Torrance,CA,90503
23027,13905 Riverside Dr,Sherman Oaks,CA,91423
23028,2044 W 84th Pl,,CA,90047
23029,11564 Littchen St,Norwalk,CA,90650
23030,8569 Walnut Dr,Los Angeles,CA,90046
23031,1252 Mcdonald Ave,Wilmington,CA,90744
23032,10699 Long Beach Blvd,Lynwood,CA,90262
23033,9711 Horner St,,CA,90035
23034,2015 W Redondo Beach Blvd,Gardena,CA,90247
23035,1765 Beverly Dr,,CA,91104
23036,22040 Gault St,Canoga Park,CA,91303
23037,1613 N Grape Ave,Compton,CA,90222
23038,23536 Dunsmore Ln,Valencia,CA,91354
23039,2314 Santa Fe Ave,,CA,90501
23040,20543 Mayall St,Chatsworth,CA,91311
23041,3354 Van Tassel Way,,CA,91010
23042,13512 Francisquito Ave,Baldwin Park,CA,91706
23043,416 S Chapel Ave,Alhambra,CA,91801
23044,14222 Isis Ave,Hawthorne,CA,90250
23045,12315 Carmenita Rd,Whittier,CA,90605
23046,5512 S Harcourt Ave,Los Angeles,CA,90043
23047,31555 Lindero Canyon Rd,Hidden Valley,CA,91361
23048,8847 Wonderland Ave,Los Angeles,CA,90046
23049,246 W Bencamp St,San Gabriel,CA,91776
23050,20746 Bryant St,Winnetka,CA,91306
23051,19431 Business Center Dr,Northridge,CA,91324
23052,704 E Chestnut St,,CA,91205
23053,1935 Polaris Dr,Glendale,CA,91208
23054,4638 Don Zarembo Dr,,CA,90008
23055,2826 Minford St,,CA,93536
23056,5041 Clara St,Cudahy,CA,90201
23057,1526 W 85th St,,CA,90047
23058,8406 Mulholland Dr,Los Angeles,CA,90046
23059,4030 Oakfield Dr,,CA,91423
23060,27721 Meraweather Pl,Valencia,CA,91354
23061,820 Montana Ave,Santa Monica,CA,90403
23062,4322 Aliso Cir,La Verne,CA,91750
23063,19939 Gridley Rd,Cerritos,CA,90703
23064,726 Findlay Ave,,CA,90022
23065,10450 Ilona Ave,Los Angeles,CA,90064
23066,972 Murchison Ave,Pomona,CA,91768
